Produto,Empresa,Ingrediente Ativo,URL
Atroverde 77/T-77,Andermatt do Brasil,Trichoderma atroviride (estirpe 77B),/agrolinkfito/produto/atroverde-77-t-77_12181.html
Attic,FMC,Iprodiona,/agrolinkfito/produto/attic_7953.html
Attila,Bayer,Fluopiram,/agrolinkfito/produto/attila_10991.html
Attuare R,Rainbow Defensivos,"Diurom, Hexazinona",/agrolinkfito/produto/attuare-r_11191.html
Atulamina 806 SL,AllierBrasil,"2,4-D, Equivalente ácido de 2,4-D",/agrolinkfito/produto/atulamina-806-sl_10293.html
Audaz,Oxiquímica,"Fluxapiroxade, Oxicloreto de cobre",/agrolinkfito/produto/audaz_10995.html
AUG 103,Avgust Crop Protection,"Clorimurom-etílico, Imazetapir",/agrolinkfito/produto/aug-103_10783.html
AUG 106,Avgust Crop,Imidacloprido,/agrolinkfito/produto/aug-106_11924.html
AUG 117,Avgust Crop,"Propiconazol, Tebuconazol",/agrolinkfito/produto/aug-117_10305.html
Aug 122,Avgust Crop,Nicossulfurom,/agrolinkfito/produto/aug-122_10268.html
Aug 126,Avgust Crop,Quizalofope-P-etílico,/agrolinkfito/produto/aug-126_10767.html
AUG 134,Avgust Crop,Imidacloprido,/agrolinkfito/produto/aug-134_11975.html
AUG 137,Avgust Crop,Tebuconazol,/agrolinkfito/produto/aug-137_10554.html
Auge,Oxiquímica,"Equivalente em cobre metálico, Hidróxido de cobre",/agrolinkfito/produto/auge_8018.html
Augory,Syngenta,Abamectina,/agrolinkfito/produto/augory_11406.html
Auin,Agrivalle,Beauveria bassiana isolado IBCB 66,/agrolinkfito/produto/auin_10322.html
Auin CE/Bio Tribal/Goveria Goplan,Agrivalle,Beauveria bassiana isolado CBMAI 1306,/agrolinkfito/produto/auin-ce-bio-tribal-goveria-goplan_10737.html
Aumenax,Oxiquímica,"Fluxapiroxade, Oxicloreto de cobre",/agrolinkfito/produto/aumenax_11117.html
Aura,Basf,Profoxidim,/agrolinkfito/produto/aura_2950.html
Aura 200,Basf,Profoxidim,/agrolinkfito/produto/aura-200_8084.html
Aurora,FMC,Carfentrazona-etílica,/agrolinkfito/produto/aurora_7159.html
Aurora 400 EC/AIM 400 EC/Quicksilver,FMC,Carfentrazona-etílica,/agrolinkfito/produto/aurora-400-ec-aim-400-ec-quicksilver_3277.html
AutênticoBR,Ouro Fino,Acetamiprido,/agrolinkfito/produto/autenticobr_10424.html
Authority,FMC,"Azoxistrobina, Flutriafol",/agrolinkfito/produto/authority_8682.html
Aval,UPL,Tebutiurom,/agrolinkfito/produto/aval_8034.html
Aval 800,UPL,Tebutiurom,/agrolinkfito/produto/aval-800_7406.html
Avanti,TradeCorp,Isoxaflutol,/agrolinkfito/produto/avanti_11504.html
Avatar,FMC,Indoxacarbe,/agrolinkfito/produto/avatar_10053.html
Avatar Evo,FMC,Indoxacarbe,/agrolinkfito/produto/avatar-evo_134.html
Aveo EZ,Sumitomo,Bacillus amyloliquefaciens cepa PTA-4838,/agrolinkfito/produto/aveo-ez_11164.html
Avert,Tecnomyl,"Azoxistrobina, Ciproconazol",/agrolinkfito/produto/avert_11667.html
Avguron Extra SC,Avgust Crop,"Diurom, Tidiazurom",/agrolinkfito/produto/avguron-extra-sc_10051.html
Aviate 250 SC,Sinochem Agro,Azoxistrobina,/agrolinkfito/produto/aviate-250-sc_11052.html
Avicta 500 FS,Syngenta,Abamectina,/agrolinkfito/produto/avicta-500-fs_7737.html
Avicta 500 FS PRO,Syngenta,Abamectina,/agrolinkfito/produto/avicta-500-fs-pro_10843.html
ÁvidoBR,Ouro Fino,Metomil,/agrolinkfito/produto/avidobr_10744.html
Avorio Top,Oxon,"Cimoxanil, Clorotalonil",/agrolinkfito/produto/avorio-top_12123.html
Avura,Syngenta,"Azoxistrobina, Difenoconazol",/agrolinkfito/produto/avura_10795.html
Axial,Syngenta,Pinoxadem,/agrolinkfito/produto/axial_12114.html
Azact CE,LACSA,Azadiractina,/agrolinkfito/produto/azact-ce_10158.html
Azamax,UPL,Azadiractina,/agrolinkfito/produto/azamax_7627.html
Azbany,Rainbow Defensivos,"Equivalente ácido de Fluroxipir, Fluroxipir-meptílico",/agrolinkfito/produto/azbany_11505.html
Azimut Supra,Adama,"Azoxistrobina, Mancozebe, Tebuconazol",/agrolinkfito/produto/azimut-supra_10418.html
Azimut/Custodia,Adama,"Azoxistrobina, Tebuconazol",/agrolinkfito/produto/azimut-custodia_8729.html
Azir,Adama,Fluensulfona,/agrolinkfito/produto/azir_10615.html
Azox 250 SC,TradeCorp,Azoxistrobina,/agrolinkfito/produto/azox-250-sc_10604.html
Azoxistrobin 200 + Ciproconazol 80 SC CCAB,CCAB Agro,"Azoxistrobina, Ciproconazol",/agrolinkfito/produto/azoxistrobin-200---ciproconazol-80-sc-ccab_11947.html
Azoxistrobin 200 Ciproconazole 80 CCAB SC,CCAB Agro,"Azoxistrobina, Ciproconazol",/agrolinkfito/produto/azoxistrobin-200-ciproconazole-80-ccab-sc_11491.html
Azoxistrobin Nortox,Nortox,Azoxistrobina,/agrolinkfito/produto/azoxistrobin-nortox_11279.html
Azoxistrobina + Ciproconazol + Oxicloreto de Cobre SC Albaugh 01,Albaugh,"Azoxistrobina, Ciproconazol, Equivalente em cobre metálico, Oxicloreto de cobre",/agrolinkfito/produto/azoxistrobina---ciproconazol---oxicloreto-de-cobre-sc-albaugh-01_12050.html
Azoxistrobina + Ciproconazol Coonagro 280 SC,UPL,"Azoxistrobina, Ciproconazol",/agrolinkfito/produto/azoxistrobina---ciproconazol-coonagro-280-sc_11971.html
Azoxistrobina CCAB 250 SC,CCAB Agro,Azoxistrobina,/agrolinkfito/produto/azoxistrobina-ccab-250-sc_10753.html
Azoxistrobina Coonagro 250 SC,UPL,Azoxistrobina,/agrolinkfito/produto/azoxistrobina-coonagro-250-sc_11781.html
Azoxy + Cypro 280 SC Proventis,Proventis,"Azoxistrobina, Ciproconazol",/agrolinkfito/produto/azoxy---cypro-280-sc-proventis_11742.html
Azoxy Yonon,Yonon,Azoxistrobina,/agrolinkfito/produto/azoxy-yonon_12171.html
Azoxystrobin 250 SC PLS CL1,Proventis,Azoxistrobina,/agrolinkfito/produto/azoxystrobin-250-sc-pls-cl1_11478.html
Azoxystrobin 250 SC Proventis,Proventis,Azoxistrobina,/agrolinkfito/produto/azoxystrobin-250-sc-proventis_11392.html
Azoxystrobin 250 SC Yonon,Yonon,Azoxistrobina,/agrolinkfito/produto/azoxystrobin-250-sc-yonon_11916.html
B.fresh,Biorisk,Metilciclopropeno,/agrolinkfito/produto/b-fresh_11137.html
Bac Control Max EC,Vectorcontrol,Bacillus thuringiensis var. kurstaki cepa CCT 1306,/agrolinkfito/produto/bac-control-max-ec_10755.html
Bac-Control Max WP,Vectorcontrol,Bacillus thuringiensis var. kurstaki cepa CCT 1306,/agrolinkfito/produto/bac-control-max-wp_10334.html
Bac-Control WP,Vectorcontrol,Bacillus thuringiensis var. kurstaki cepa CCT 1306,/agrolinkfito/produto/bac-control-wp_3431.html
Bacillus Thuringiensis Bom Futuro,Bom Futuro,Bacillus thuringiensis isolado kurstaki S1450,/agrolinkfito/produto/bacillus-thuringiensis-bom-futuro_11801.html
Bacmix BTKSC,COMDEAGRO,Bacillus thuringiensis isolado kurstaki S1450,/agrolinkfito/produto/bacmix-btksc_11065.html
Bactel/DuoBac Meta,Dillon,Bacillus amyloliquefaciens isolado CBMAI 1301,/agrolinkfito/produto/bactel-duobac-meta_11268.html
Baculompi-SF/Spinix/ BioCash,Promip,Spodoptera frugiperda multiple nucleopolyhedrovirus (SfMNPV),/agrolinkfito/produto/baculompi-sf-spinix--biocash_11386.html
Baculonat SF,Bionat,Spodoptera frugiperda multiple nucleopolyhedrovirus (SfMNPV),/agrolinkfito/produto/baculonat-sf_11440.html
Baculovirus Soja WP,Bosquiroli,Baculovirus anticarsia,/agrolinkfito/produto/baculovirus-soja-wp_8885.html
Baguera,TradeCorp,Hexazinona,/agrolinkfito/produto/baguera_11071.html
Baikal,TradeCorp,Piriproxifem,/agrolinkfito/produto/baikal_11552.html
Baktillis,Mezfer,Bacillus subtilis linhagem Bk-Bs01,/agrolinkfito/produto/baktillis_11558.html
Balin,Ballagro,"Trichoderma harzianum, isolado IBLF006",/agrolinkfito/produto/balin_10854.html
Ballvéria/Rizoveria Bio Inseticida/Mestrado/BoveNext/ Bionova Sanus Bove,Ballagro,Beauveria bassiana isolado IBCB 66,/agrolinkfito/produto/ballveria-rizoveria-bio-inseticida-mestrado-bovenext--bionova-sanus-bove_8642.html
Bamako 700 WG,Rotam,Imidacloprido,/agrolinkfito/produto/bamako-700-wg_8356.html
Bamytis/Royalprezor,Biota,"Bacillus amyloliquefaciens, isolado SVG 00027-B, Bacillus amyloliquefaciens, isolado SVG 00028-B, Bacillus subtilis, isolado SVG 00030-B, Bacillus thuringiensis, isolado SVG 00029-B",/agrolinkfito/produto/bamytis-royalprezor_12124.html
Band,Nutrien,Flutriafol,/agrolinkfito/produto/band_8340.html
Band 500 SC,Nutrien,Flutriafol,/agrolinkfito/produto/band-500-sc_10967.html
Bandolim/Pilarzinam,Pilarquim,Fluazinam,/agrolinkfito/produto/bandolim-pilarzinam_11143.html
Banjo,Adama,Fluazinam,/agrolinkfito/produto/banjo_10641.html
Banjo SC,Adama,Fluazinam,/agrolinkfito/produto/banjo-sc_11384.html
Banter,UPL,Abamectina,/agrolinkfito/produto/banter_8485.html
Banzai,Adama,Dimetomorfe,/agrolinkfito/produto/banzai_10267.html
Barão,UPL,Fipronil,/agrolinkfito/produto/barao_8697.html
Baris/Glifosato 480 SL Perterra/Glifosato 480 SL Sino-Agri,Perterra,"Equivalente ácido de Glifosato, Glifosato",/agrolinkfito/produto/baris-glifosato-480-sl-perterra-glifosato-480-sl-sino-agri_8362.html
Barkmax,TOPBIO,Neoseiulus barkeri,/agrolinkfito/produto/barkmax_11556.html
Barus 300 WG,ISK,Tiafenacil,/agrolinkfito/produto/barus-300-wg_12148.html
Barus 339 SC,ISK,Tiafenacil,/agrolinkfito/produto/barus-339-sc_12085.html
Barus 700 WG,ISK,Tiafenacil,/agrolinkfito/produto/barus-700-wg_12203.html
Basagran 480,Basf,Bentazona,/agrolinkfito/produto/basagran-480_7497.html
Basagran 600,Basf,Bentazona,/agrolinkfito/produto/basagran-600_2959.html
Bassi Control,Innova,Beauveria bassiana isolado IBCB 66,/agrolinkfito/produto/bassi-control_11082.html
Bastnate,Rainbow Defensivos,Glufosinato,/agrolinkfito/produto/bastnate_11115.html
Batalha 240 SL,Yonon,"Equivalente Ácido de Picloram, Picloram",/agrolinkfito/produto/batalha-240-sl_10702.html
Battle,FMC,"Carbendazim, Flutriafol",/agrolinkfito/produto/battle_7296.html
Battus,UPL,Acetamiprido,/agrolinkfito/produto/battus_8713.html
Baytan FS,Bayer,Triadimenol,/agrolinkfito/produto/baytan-fs_3224.html
Bazuka 216 SL,Rotam,Metomil,/agrolinkfito/produto/bazuka-216-sl_8409.html
BB-Protec/Beauvisan,Andermatt do Brasil,"Beauveria bassiana, Isolado R444",/agrolinkfito/produto/bb-protec-beauvisan_12224.html
Beauve 100,Oligos Biotecnologia,Beauveria bassiana isolado IBCB 66,/agrolinkfito/produto/beauve-100_11827.html
Beauve Protection,Bioma,Beauveria bassiana isolado IBCB 66,/agrolinkfito/produto/beauve-protection_11433.html
BeauveControl,Simbiose,Beauveria bassiana isolado IBCB 66,/agrolinkfito/produto/beauvecontrol_10198.html
Beauvecontrol Extreme,Simbiose,Beauveria bassiana isolado IBCB 66,/agrolinkfito/produto/beauvecontrol-extreme_10918.html
Beauvel,Dillon,Beauveria bassiana,/agrolinkfito/produto/beauvel_10935.html
Beauveria Bom Futuro,Bom Futuro,Beauveria bassiana isolado IBCB 66,/agrolinkfito/produto/beauveria-bom-futuro_11948.html
Beauveria JCO,JCO,Beauveria bassiana isolado IBCB 66,/agrolinkfito/produto/beauveria-jco_10108.html
Beauveria Oligos WP,Oligos Biotecnologia,Beauveria bassiana isolado IBCB 66,/agrolinkfito/produto/beauveria-oligos-wp_10321.html
Beauveria SR,Oligos Biotecnologia,Beauveria bassiana isolado IBCB 66,/agrolinkfito/produto/beauveria-sr_11312.html
Beaveouro,Valeouro,Beauveria bassiana isolado IBCB 66,/agrolinkfito/produto/beaveouro_12058.html
Bedane,Syngenta,Pimetrozina,/agrolinkfito/produto/bedane_10070.html
Belanty,Basf,Mefentrifluconazole,/agrolinkfito/produto/belanty_11928.html
Bellavi,Corteva,Clorantraniliprole,/agrolinkfito/produto/bellavi_11553.html
Bellum 480 SC,Rotam,Mesotriona,/agrolinkfito/produto/bellum-480-sc_10932.html
Belt,Bayer,Flubendiamida,/agrolinkfito/produto/belt_8050.html
Belure,Basf,Fipronil,/agrolinkfito/produto/belure_7804.html
Belure Top,Basf,"Fipronil, Piraclostrobina, Tiofanato-metílico",/agrolinkfito/produto/belure-top_10716.html
Belyan,Basf,"Fluxapiroxade, Mefentrifluconazole, Piraclostrobina",/agrolinkfito/produto/belyan_11790.html
Bemitrix WG,COMDEAGRO,Beauveria bassiana isolado IBCB 66,/agrolinkfito/produto/bemitrix-wg_11526.html
Bemizai,Toyobo,Beauveria bassiana isolado IBCB 66,/agrolinkfito/produto/bemizai_12034.html
Bendazol,Adama,Carbendazim,/agrolinkfito/produto/bendazol_53.html
Benevia,FMC,Ciantraniliprole,/agrolinkfito/produto/benevia_10188.html
Benevia OD,FMC,Ciantraniliprole,/agrolinkfito/produto/benevia-od_12154.html
Benforce,Iharabras,Fipronil,/agrolinkfito/produto/benforce_12071.html
BequeBR,Ouro Fino,Fipronil,/agrolinkfito/produto/bequebr_10710.html
Bestphos/Arjun Super,Coromandel,"Cipermetrina, Profenofós",/agrolinkfito/produto/bestphos-arjun-super_11298.html
Betk-03,Prophyto,"Bacillus thuringiensis, cepa nº 1, Bacillus thuringiensis, cepa nº 2, Bacillus thuringiensis, cepa nº 3",/agrolinkfito/produto/betk-03_12198.html
Bettus Org/Vitales Gratto Turi,Nooa,Bacillus thuringiensis var. kurstaki cepa HD-1,/agrolinkfito/produto/bettus-org-vitales-gratto-turi_11394.html
Bevorim,Basf,"Alfa-Cipermetrina, Fipronil, Piraclostrobina",/agrolinkfito/produto/bevorim_11479.html
BI2003/16,Ballagro,"Beauveria bassiana isolado IBCB 66, Metarhizium anisopliae cepa IBCB 425",/agrolinkfito/produto/bi2003-16_11023.html
BI73.002/17,Ballagro,"Bacillus thuringiensis, isolados 1641, Bacillus thuringiensis, isolados 1644",/agrolinkfito/produto/bi73-002-17_11189.html
Biagro Attak,Simbiose,Beauveria bassiana isolado IBCB 66,/agrolinkfito/produto/biagro-attak_10599.html
Biagro Cana,Bioma,Metarhizium anisopliae cepa IBCB 425,/agrolinkfito/produto/biagro-cana_11943.html
Biagro Cristalles,Simbiose,Bacillus thuringiensis var. kurstaki cepa HD-1,/agrolinkfito/produto/biagro-cristalles_10696.html
Biagro Impacto,Simbiose,Isaria fumosorosea cepa ESALQ 4778,/agrolinkfito/produto/biagro-impacto_11908.html
Biagro Pasto,Bioma,Metarhizium anisopliae cepa IBCB 425,/agrolinkfito/produto/biagro-pasto_11874.html
Biagro Proteção,Simbiose,Bacillus amyloliquefaciens isolado CBMAI 1301,/agrolinkfito/produto/biagro-protecao_11299.html
Biagro Solo,Simbiose,"Trichoderma harzianum, cepa: CCT 7589",/agrolinkfito/produto/biagro-solo_11000.html
Bifenmax,UPL,Bifentrina,/agrolinkfito/produto/bifenmax_11169.html
Bifentrina 100 EC Nortox,Nortox,Bifentrina,/agrolinkfito/produto/bifentrina-100-ec-nortox_11232.html
Bifentrina 120 FS,FMC,Bifentrina,/agrolinkfito/produto/bifentrina-120-fs_8093.html
Bifentrina A Nortox,Nortox,"Acetamiprido, Bifentrina",/agrolinkfito/produto/bifentrina-a-nortox_11914.html
Biffo,Sumitomo,Glufosinato - Sal de amônio,/agrolinkfito/produto/biffo_11498.html
Biflex treebags,FMC,Bifentrina,/agrolinkfito/produto/biflex-treebags_8086.html
Bim 750 BR,CTVA Proteção de Cultivos,Triciclazol,/agrolinkfito/produto/bim-750-br_8539.html
Bim Max,CTVA Proteção de Cultivos,"Tebuconazol, Triciclazol",/agrolinkfito/produto/bim-max_11174.html
Bimate SA,Proventis,"Diurom, Tebutiurom",/agrolinkfito/produto/bimate-sa_7210.html
Bingo 250 FS,CHDS do Brasil,Fipronil,/agrolinkfito/produto/bingo-250-fs_11501.html
Bingo 800 WG,CHDS do Brasil,Fipronil,/agrolinkfito/produto/bingo-800-wg_11737.html
BIO BACTERIOPHORA,Bio Controle,Heterorhabditis bacteriophora cepa EN01,/agrolinkfito/produto/bio-bacteriophora_10983.html
Bio BM,Bio Controle,"5,9-Dimetilpentadecano",/agrolinkfito/produto/bio-bm_7171.html
Bio Bonagota,Bio Controle,"Acetato de (e,z)-3,5-dodecadienila; Acetato de (z)-9-hexadecenila; Acetato de (z)-5-dodecenila; Acetato de (E,Z)-3,5-Dodecadienila; Acetato de (Z)-9-Hexadecenila; Acetato de (Z)-5-Dodecenila",/agrolinkfito/produto/bio-bonagota_7169.html
Bio Broca,Bio Controle,"Etanol, Metanol",/agrolinkfito/produto/bio-broca_7163.html
Bio Carambolae,Bio Controle,Eugenol-metílico,/agrolinkfito/produto/bio-carambolae_7166.html
Bio Centules,Bionat,Beauveria bassiana isolado IBCB 66,/agrolinkfito/produto/bio-centules_11963.html
Bio Defense,Bio Defense,"Cotesia flavipes (Cameron, 1891)",/agrolinkfito/produto/bio-defense_10247.html
Bio Green/Marechal,Solubio,Trichoderma harzianum isolado IB19/17,/agrolinkfito/produto/bio-green-marechal_12037.html
Bio Helicoverpa,Bio Controle,(Z) – 9 – Hexadecenal (Z9 – 16: Ald); (Z) – 11 – Hexadecenal (Z11 – 16: Ald); (Z) – 11 – Hexadecenal (Z11 – 16:OH); Hexadecenal (16: Ald),/agrolinkfito/produto/bio-helicoverpa_10134.html
Bio Inclusion S.F.,Bioma,Spodoptera frugiperda multiple nucleopolyhedrovirus (SfMNPV),/agrolinkfito/produto/bio-inclusion-s-f-_11945.html
Bio Lobesia,Bio Controle,"(E,Z)-dodeca-7,9-dienyl acetate",/agrolinkfito/produto/bio-lobesia_10389.html
Bio Neo,Bio Controle,"(E)-11-Hexadecenol; (Z,Z,Z)-3,6,9-Tricosatrieno",/agrolinkfito/produto/bio-neo_3455.html
Bio Phygga,Bionat,Metarhizium anisopliae cepa IBCB 425,/agrolinkfito/produto/bio-phygga_11875.html
Bio Pseudoplusia,Bio Controle,Acetato de (Z)-7-dodecenila,/agrolinkfito/produto/bio-pseudoplusia_8556.html
Bio Serrico,Bio Controle,Serricornim,/agrolinkfito/produto/bio-serrico_3465.html
Bio Spodoptera,Bio Controle,Acetato de (Z)-11-Hexadecenila; Acetato de (Z)-7-dodecenila; Acetato de (Z)-9-tetradecenila,/agrolinkfito/produto/bio-spodoptera_5693.html
Bio Tramo,Agrivalle,"Bacillus licheniformis, cepa ATCC 12713, Bacillus subtilis, cepa ATCC 6051, Paecilomyces lilacinus (Purpureocilium lilacinum), cepa: CPQBA 040-11 DRM 10",/agrolinkfito/produto/bio-tramo_11197.html
Bio Trimedlure,Bio Controle,Trimedlure,/agrolinkfito/produto/bio-trimedlure_3460.html
Bio Tuta,Bio Controle,"Acetato de (E,Z,Z)-3,8,11-tetradecatrienila",/agrolinkfito/produto/bio-tuta_7175.html
Bioatena,Total Biotecnologia,Metarhizium anisopliae cepa IBCB 425,/agrolinkfito/produto/bioatena_11625.html
Bioatria,Bionat,"Trichoderma afroharzianum, isolado CEN 287",/agrolinkfito/produto/bioatria_12007.html
BioBac t,Vital Brasil,Bacillus thuringiensis isolado kurstaki S1450,/agrolinkfito/produto/biobac-t_11457.html
Biobac/Tacap,UPL,Bacillus subtilis Linhagem Y1336,/agrolinkfito/produto/biobac-tacap_10323.html
Biobaci/Baci-Attack/Baci-Guard/Vitalforce Bio Phako/Cropwinner Eco Vastax,Vittia,Bacillus subtilis BV-09,/agrolinkfito/produto/biobaci-baci-attack-baci-guard-vitalforce-bio-phako-cropwinner-eco-vastax_10788.html
BioBassi,Biomip,Beauveria bassiana isolado IBCB 66,/agrolinkfito/produto/biobassi_11161.html
Biobev,Micro Bio,Beauveria bassiana isolado CBMAI 1306,/agrolinkfito/produto/biobev_10940.html
Biocydia,Bio Controle,Codlelure (codlemônio),/agrolinkfito/produto/biocydia_3467.html
Biodeixis,Agbitech,Chrysodeixis includens nucleopolyhedrovirus (ChinNPV),/agrolinkfito/produto/biodeixis_11194.html
Biodiatraea,Morsoletto,Trichospilus diatraeae,/agrolinkfito/produto/biodiatraea_11826.html
Bioeco Cotésia,Bioeco,"Cotesia flavipes (Cameron, 1891), Cotesia flavipes (Cameron, 1891)",/agrolinkfito/produto/bioeco-cotesia_10077.html
Bioessence Drive,Total Biotecnologia,Bacillus subtilis isolado CNPSo 2657,/agrolinkfito/produto/bioessence-drive_11460.html
Bioexos,Total Biotecnologia,"Concentração de Azadiractina A, Concentração de Azadiractina B, Óleo de Neem (Azadirachta indica)",/agrolinkfito/produto/bioexos_11179.html
Biogalloi,Morsoletto,Trichogramma galloi,/agrolinkfito/produto/biogalloi_11432.html
Biographolita,Bio Controle,Acetato de (Z)-8-Dodecenila; Acetato de (E)-8-Dodecenila; (Z)-8-Dodecenol; Álcool Laurílico,/agrolinkfito/produto/biographolita_3468.html
Biohowardi,Morsoletto,Tetrastichus howardi,/agrolinkfito/produto/biohowardi_11958.html
Bio-imune/Multi-Attack/Multi-Guard/FungiOuro,Vittia,Bacillus subtilis BV-02,/agrolinkfito/produto/bio-imune-multi-attack-multi-guard-fungiouro_10821.html
Bioin-Tricho-P,BioIn,Trichogramma pretiosum,/agrolinkfito/produto/bioin-tricho-p_11702.html
Bioisa,Vital Brasil,"Isaria fumosorosea, cepa ESALQ-3422",/agrolinkfito/produto/bioisa_11309.html
Bioisca,COCAPEC,Tephrosia candida,/agrolinkfito/produto/bioisca_8631.html
Biokato/Bioddam,Total Biotecnologia,"Pseudomonas chlororaphis, isolado CCTB19, Pseudomonas fluorescens, isolado CCTB03",/agrolinkfito/produto/biokato-bioddam_11881.html
Biomagno/Bioharmer,Total Biotecnologia,"Bacillus amyloliquefaciens, isolado CNPSo3202, Bacillus thuringiensis, isolado CNPSo3915, Bacillus velezensis isolado CNPSo 3602",/agrolinkfito/produto/biomagno-bioharmer_11865.html
BioMatch JCO,JCO,"Beauveria bassiana isolado IBCB 66, Metarhizium anisopliae cepa IBCB 425",/agrolinkfito/produto/biomatch-jco_11243.html
Biometa,Biomip,Metarhizium anisopliae cepa IBCB 425,/agrolinkfito/produto/biometa_11097.html
BioMTZ,Vital Brasil,Metarhizium anisopliae cepa IBCB 425,/agrolinkfito/produto/biomtz_11895.html
Bion 500 WG,Syngenta,Acibenzolar-S-metílico,/agrolinkfito/produto/bion-500-wg_5033.html
Bioolimpo,Total Biotecnologia,"Beauveria bassiana isolado IBCB 66, Metarhizium anisopliae cepa IBCB 425",/agrolinkfito/produto/bioolimpo_11692.html
Biopalmis,Morsoletto,Palmistichus elaeisis,/agrolinkfito/produto/biopalmis_11816.html
Biopodisi,Morsoletto,Telenomus podisi,/agrolinkfito/produto/biopodisi_11758.html
BioPrecioso,Morsoletto,Trichogramma pretiosum,/agrolinkfito/produto/bioprecioso_11956.html
Bioprogress,Mitsui,"Equivalente em cobre metálico, Hidróxido de cobre",/agrolinkfito/produto/bioprogress_3294.html
Biorhizium GR,Bioenergia,Metarhizium anisopliae cepa IBCB 425,/agrolinkfito/produto/biorhizium-gr_10179.html
Biorhizium WP,Bioenergia,Metarhizium anisopliae cepa IBCB 425,/agrolinkfito/produto/biorhizium-wp_10189.html
Biosave,C.C.A.,"Concentração de Azadiractina A, Concentração de Azadiractina B, Óleo de Neem (Azadirachta indica)",/agrolinkfito/produto/biosave_12073.html
Bioscap,Vital Brasil,"Beauveria bassiana isolado IBCB 66, Metarhizium anisopliae cepa IBCB 425",/agrolinkfito/produto/bioscap_11340.html
